product_code,category_id,description,published,family_id,serie,material,color,vidrio,width_mm,height_mm,has_mosquitero,has_shutter_monoblock,shutter_system,price_base,price_mosquitero,price_mb,price_mb_c_mosq,currency,source,reference_date,specifications
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x600-2047,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,600,false,false,,81.53,110.09,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x600
legacy-parametric-ventana-corrediza-20-natural-3mm-1600x600-2048,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1600,600,false,false,,91.3,120.83,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1600x600
legacy-parametric-ventana-corrediza-20-natural-3mm-1800x600-2049,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1800,600,false,false,,101.5,132.92,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1800x600
legacy-parametric-ventana-corrediza-20-natural-3mm-2000x600-2050,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,2000,600,false,false,,107.68,140.99,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 2000x600
legacy-parametric-ventana-corrediza-20-natural-3mm-1000x800-2051,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1000,800,false,false,,74.43,101.21,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1000x800
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x800-2052,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,800,false,false,,88.09,116.98,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x800
legacy-parametric-ventana-corrediza-20-natural-3mm-1400x800-2053,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1400,800,false,false,,94.78,125.73,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1400x800
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x800-2054,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,800,false,false,,98.12,130.1,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x800
legacy-parametric-ventana-corrediza-20-natural-3mm-1600x800-2055,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1600,800,false,false,,105.49,138.5,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1600x800
legacy-parametric-ventana-corrediza-20-natural-3mm-1800x800-2056,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1800,800,false,false,,112.18,147.25,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1800x800
legacy-parametric-ventana-corrediza-20-natural-3mm-2000x800-2057,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,2000,800,false,false,,118.87,155.99,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 2000x800
legacy-parametric-ventana-corrediza-20-natural-3mm-800x1000-2058,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,800,1000,false,false,,82.82,110.43,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 800x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-800x1000-2058,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,800,1000,true,true,PVC,82.82,110.43,200.49,219.55,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 800x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1000x1000-2059,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1000,1000,false,false,,82.57,112.28,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1000x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1000x1000-2059,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1000,1000,true,true,PVC,82.57,112.28,198.34,203.07,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1000x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x1000-2060,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,1000,false,false,,89.75,121.66,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x1000-2060,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,1000,true,true,PVC,89.75,121.66,217.06,248.73,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1400x1000-2061,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1400,1000,false,false,,104.43,138.7,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1400x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1400x1000-2061,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1400,1000,true,true,PVC,104.43,138.7,251.69,282.92,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1400x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x1000-2062,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,1000,false,false,,100.34,135.56,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x1000-2062,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,1000,true,true,PVC,100.34,135.56,245.15,280.42,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1600x1000-2063,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1600,1000,false,false,,115.65,152.15,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1600x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1400x1200-2068,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1400,1200,false,false,,114.07,151.68,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1400x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1600x1000-2063,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1600,1000,true,true,PVC,115.65,152.15,267.58,304.05,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1600x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1800x1000-2064,5,,true,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1800,1000,false,false,,122.85,161.57,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1800x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1800x1000-2064,5,,true,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1800,1000,true,true,PVC,122.85,161.57,286.31,325.18,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1800x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-2000x1000-2065,5,,true,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,2000,1000,false,false,,130.05,170.99,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 2000x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-2000x1000-2065,5,,true,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,2000,1000,true,true,PVC,130.05,170.99,305.03,346.31,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 2000x1000
legacy-parametric-ventana-corrediza-20-natural-3mm-1000x1200-2066,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1000,1200,false,false,,98.65,131.48,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1000x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1000x1200-2066,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1000,1200,true,true,PVC,98.65,131.48,219.68,252.19,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1000x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x1200-2067,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,1200,false,false,,98.66,133.72,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x1200-2067,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,1200,true,true,PVC,98.66,133.72,240.16,275.23,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1400x1200-2068,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1400,1200,true,true,PVC,114.07,151.68,273.7,311.33,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1400x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x1200-2069,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,1200,false,false,,111.24,150.03,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x1200-2069,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,1200,true,true,PVC,111.24,150.03,270.87,309.78,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1600x1200-2070,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1600,1200,false,false,,125.81,165.8,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1600x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1600x1200-2070,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1600,1200,true,true,PVC,125.81,165.8,294.18,334.37,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1600x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1800x1200-2071,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1800,1200,false,false,,133.53,175.9,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1800x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1800x1200-2071,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1800,1200,true,true,PVC,133.53,175.9,314.66,357.41,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1800x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-2000x1200-2072,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,2000,1200,false,false,,141.24,185.99,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 2000x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-2000x1200-2072,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,2000,1200,true,true,PVC,141.24,185.99,335.13,380.44,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 2000x1200
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x1500-2073,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,1500,false,false,,132.79,176.69,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x1500
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x1500-2073,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,1500,true,true,PVC,132.79,176.69,322.51,366.89,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x1500
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x2000-2074,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,2000,false,false,,146.92,194.78,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x2000
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x2000-2074,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,2000,true,true,PVC,146.92,194.78,364.67,412.81,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x2000
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x2000-2075,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,2000,false,false,,157.31,209.69,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x2000
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x2000-2075,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,2000,true,true,PVC,157.31,209.69,406.95,459.89,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x2000
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x200-2076,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,200,false,false,,165.29,217.67,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x200
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x200-2076,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,200,true,true,PVC,165.29,217.67,416.13,469.07,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x200
legacy-parametric-ventana-corrediza-20-blanco-3mm-500x300-2077,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,500,300,false,false,,38.55,54.26,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 500x300
legacy-parametric-ventana-corrediza-20-blanco-3mm-600x400-2078,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,600,400,false,false,,45.71,63.68,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 600x400
legacy-parametric-ventana-corrediza-20-blanco-3mm-800x400-2079,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,800,400,false,false,,52.88,73.07,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 800x400
legacy-parametric-ventana-corrediza-20-blanco-3mm-1000x400-2080,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1000,400,false,false,,62.75,85.12,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1000x400
legacy-parametric-ventana-corrediza-20-blanco-3mm-1200x400-2081,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1200,400,false,false,,69.17,93.5,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1200x400
legacy-parametric-ventana-corrediza-20-blanco-3mm-1400x400-2082,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1400,400,false,false,,82.28,108.57,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1400x400
legacy-parametric-ventana-corrediza-20-blanco-3mm-1500x400-2083,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1500,400,false,false,,78.8,106.06,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1500x400
legacy-parametric-ventana-corrediza-20-blanco-3mm-1000x600-2084,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1000,600,false,false,,72.35,89.92,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1000x600
legacy-parametric-ventana-corrediza-20-blanco-3mm-1200x600-2085,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1200,600,false,false,,79.28,107,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1200x600
legacy-parametric-ventana-corrediza-20-blanco-3mm-1400x600-2086,5,,true,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1400,600,false,false,,92.91,122.75,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1400x600
legacy-parametric-ventana-corrediza-20-blanco-3mm-1500x600-2087,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1500,600,false,false,,89.68,120.58,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1500x600
legacy-parametric-ventana-corrediza-20-blanco-3mm-1600x600-2088,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1600,600,false,false,,99.84,131.81,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1600x600
legacy-parametric-ventana-corrediza-20-blanco-3mm-1800x600-2089,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1800,600,false,false,,110.78,144.88,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1800x600
legacy-parametric-ventana-corrediza-20-blanco-3mm-2000x600-2090,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,2000,600,false,false,,117.71,153.93,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 2000x600
legacy-parametric-ventana-corrediza-20-blanco-3mm-1000x800-2091,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1000,800,false,false,,81.65,110.42,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1000x800
legacy-parametric-ventana-corrediza-20-blanco-3mm-1200x800-2092,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1200,800,false,false,,96.1,127.2,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1200x800
legacy-parametric-ventana-corrediza-20-blanco-3mm-1400x800-2093,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,BLANCO,3MM,1400,800,false,false,,103.54,136.93,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 BLANCO 3MM 1400x800
